title,duration,views,likes,comments,published_at,engagement,duration_minutes,channel_name,date,time
How to style your input cursor in CSS,PT12S,1616,20,0,2025-10-18T23:43:24Z,0.0123762376237623,0.2,FreeCodeCamp,2025-10-18,11:43:24 PM
Audit the advice you're getting - it's not all gonna be good,PT1M2S,2209,29,0,2025-10-17T23:32:25Z,0.0131281122679945,1.0333333333333334,FreeCodeCamp,2025-10-17,11:32:25 PM
From injured athlete to software engineer with Kaleb Garner [Podcast #193],PT1H13M8S,8458,277,11,2025-10-17T14:00:06Z,0.0340506029794277,73.13333333333334,FreeCodeCamp,2025-10-17,02:00:06 PM
How to use Python's .isprintable() method,PT25S,4042,49,1,2025-10-16T23:18:24Z,0.012370113805047,0.4166666666666667,FreeCodeCamp,2025-10-16,11:18:24 PM
What is the JavaScript DOM?,PT1H58M38S,15296,822,52,2025-10-16T17:58:03Z,0.0571391213389121,118.63333333333334,FreeCodeCamp,2025-10-16,05:58:03 PM
"Why you should surround yourself with the smartest, most driven people",PT1M11S,4518,96,2,2025-10-15T22:52:59Z,0.0216910137228862,1.1833333333333331,FreeCodeCamp,2025-10-15,10:52:59 PM
Intro to MCP Servers – Model Context Protocol with Python Course,PT1H12M43S,26650,1131,33,2025-10-15T12:55:53Z,0.0436772983114446,72.71666666666667,FreeCodeCamp,2025-10-15,12:55:53 PM
How to make heart shapes in HTML,PT11S,17008,220,6,2025-10-14T23:29:14Z,0.0132878645343367,0.1833333333333333,FreeCodeCamp,2025-10-14,11:29:14 PM
Google Generative AI Leader Certification Course – Pass the Exam!,PT3H24M20S,48825,1604,48,2025-10-13T13:49:05Z,0.0338351254480286,204.33333333333331,FreeCodeCamp,2025-10-13,01:49:05 PM
Evan You – From Art School Kid to Open Source Legend [Podcast #192],PT1H20M45S,17675,521,25,2025-10-10T14:00:06Z,0.0308910891089108,80.75,FreeCodeCamp,2025-10-10,02:00:06 PM
Harvard CS50’s Intro to Databases with SQL – Full University Course,PT11H8M49S,86095,4010,114,2025-10-09T13:48:27Z,0.0479005749462802,668.8166666666667,FreeCodeCamp,2025-10-09,01:48:27 PM
React 19 Project Tutorial – AI Code Explainer,PT1H13M26S,19456,831,22,2025-10-08T13:30:49Z,0.0438425164473684,73.43333333333334,FreeCodeCamp,2025-10-08,01:30:49 PM
Deep Learning Vision Architectures Explained – Python Course on CNNs and Vision Transformers,PT5H7M28S,24531,1090,28,2025-10-07T16:17:24Z,0.0455749867514573,307.46666666666664,FreeCodeCamp,2025-10-07,04:17:24 PM
From manufacturing worker to first developer job at age 43 with Thomas Gooch [Podcast #191],PT58M55S,23888,750,40,2025-10-03T14:00:06Z,0.0330709979906229,58.91666666666666,FreeCodeCamp,2025-10-03,02:00:06 PM
Become a Fullstack Developer from Scratch – Full Beginner’s Tutorial,P1DT23H29M21S,446538,22892,886,2025-10-01T15:57:12Z,0.0532496674415167,0.0,FreeCodeCamp,2025-10-01,03:57:12 PM
"Build a Full Stack Movie Streaming App in Go – Golang, React, MongoDB, OpenAI API Project Course",PT14H45M26S,59134,2384,80,2025-09-30T12:28:36Z,0.0416680758954239,885.4333333333333,FreeCodeCamp,2025-09-30,12:28:36 PM
AWS CloudOps Engineer Associate (SOA-C03) Certification Course – Pass the Exam!,P2DT18H50M25S,36164,1575,104,2025-09-29T15:33:57Z,0.0464273863510673,0.0,FreeCodeCamp,2025-09-29,03:33:57 PM
Lone Wolf Dev turned Open Source Super Contributor Tom Mondloch [Podcast #190],PT38M19S,11328,268,5,2025-09-26T14:00:06Z,0.0240995762711864,38.31666666666667,FreeCodeCamp,2025-09-26,02:00:06 PM
Production-Grade AI Project Tutorial – Build & Deploy,PT1H44M27S,43963,1542,53,2025-09-25T13:58:50Z,0.0362805086095125,104.45,FreeCodeCamp,2025-09-25,01:58:50 PM
LLMs from Scratch – Practical Engineering from Base Model to PPO RLHF,PT6H6M21S,95312,4763,114,2025-09-23T12:32:33Z,0.0511687930166191,366.35,FreeCodeCamp,2025-09-23,12:32:33 PM
"How to Build Advanced AI Agents – Course for Beginners (LiveKit, Exa, LangChain)",PT49M55S,48097,1911,56,2025-09-22T14:35:42Z,0.0408965216125745,49.91666666666666,FreeCodeCamp,2025-09-22,02:35:42 PM
Learn Chess and Become a Better Developer with Ihechikara Abba (ELO rating of 2285) [Podcast #189],PT58M36S,19161,520,30,2025-09-19T14:00:05Z,0.0287041386148948,58.6,FreeCodeCamp,2025-09-19,02:00:05 PM
ASP.NET Web API – Token Based Authentication Tutorial,PT2H4M16S,15233,575,17,2025-09-18T14:47:49Z,0.0388629948138909,124.26666666666668,FreeCodeCamp,2025-09-18,02:47:49 PM
Databricks Data Engineer Associate Certification Course – Pass the Exam!,PT7H28M22S,49107,1478,61,2025-09-17T13:52:14Z,0.0313397275337528,448.3666666666667,FreeCodeCamp,2025-09-17,01:52:14 PM
"Code Your Own Code Editor – JavaScript, HTML, CSS Tutorial",PT4H7M54S,38676,1648,62,2025-09-15T14:42:47Z,0.0442134657151722,247.9,FreeCodeCamp,2025-09-15,02:42:47 PM
Playing the Developer Job Search Game to Win in 2025 with Danny Thompson & Leon Noel [Podcast #188],PT56M36S,14613,427,51,2025-09-12T14:00:17Z,0.0327106001505508,56.6,FreeCodeCamp,2025-09-12,02:00:17 PM
Secure PHP Apps with Symfony & MongoDB – Full Course for Beginners,PT38M51S,13184,466,39,2025-09-11T13:01:06Z,0.0383040048543689,38.85,FreeCodeCamp,2025-09-11,01:01:06 PM
Godot Game Development for Beginners,PT57M59S,26266,923,70,2025-09-10T13:00:48Z,0.0378055280590877,57.98333333333333,FreeCodeCamp,2025-09-10,01:00:48 PM
iOS App Store Submission Tutorial,PT1H25M38S,17527,681,30,2025-09-08T14:50:28Z,0.040565983910538,85.63333333333334,FreeCodeCamp,2025-09-08,02:50:28 PM
How to focus on building your skills when everything's so distracting with Ania Kubów [Podcast #187],PT57M27S,45505,1469,51,2025-09-05T14:00:06Z,0.0334029227557411,57.45,FreeCodeCamp,2025-09-05,02:00:06 PM
Intro to Fine-Tuning Large Language Models,PT2H2M52S,41399,1356,50,2025-09-04T14:09:42Z,0.0339621729993478,122.86666666666666,FreeCodeCamp,2025-09-04,02:09:42 PM
Guide to Agentic AI – Build a Python Coding Agent with Gemini,PT2H14M23S,91924,3433,81,2025-09-03T13:37:24Z,0.0382272311909838,134.38333333333333,FreeCodeCamp,2025-09-03,01:37:24 PM
Mandarin Chinese Language Beginners Course – Learn HSK1 Level Mandarin,PT10H32M55S,59526,2843,401,2025-09-02T13:51:56Z,0.0544971945032422,632.9166666666666,FreeCodeCamp,2025-09-02,01:51:56 PM
"How to use AI as an accelerator, not a crutch, with freelance engineer Ankur Tyagi  [Podcast #186]",PT54M25S,17079,521,40,2025-08-29T14:00:06Z,0.0328473564025996,54.41666666666666,FreeCodeCamp,2025-08-29,02:00:06 PM
JavaScript Tutorial with Three.js – 5 Projects for Beginners,PT1H25M13S,30492,1329,28,2025-08-27T12:50:36Z,0.0445034763216581,85.21666666666667,FreeCodeCamp,2025-08-27,12:50:36 PM
Professional Cloud Architect Certification Course – Pass the Exam!,PT15H45M26S,28061,922,37,2025-08-26T13:42:34Z,0.0341755461316417,945.4333333333332,FreeCodeCamp,2025-08-26,01:42:34 PM
Computer Vision with Arduino Tutorial – 2 Projects,PT2H54M45S,32149,1338,39,2025-08-25T13:59:45Z,0.0428318143643659,174.75,FreeCodeCamp,2025-08-25,01:59:45 PM
From Hospital Janitor to Developer with Emmett Naughton [Podcast #185],PT1H28M56S,12170,352,25,2025-08-22T13:15:07Z,0.0309778142974527,88.93333333333334,FreeCodeCamp,2025-08-22,01:15:07 PM
Checkmate Patterns for Beginners – Full Chess Tutorial,PT44M13S,35206,1436,168,2025-08-21T13:30:00Z,0.0455604158382094,44.21666666666667,FreeCodeCamp,2025-08-21,01:30:00 PM
Building an AI-Powered E-commerce Chat Assistant with MongoDB – Tutorial,PT1H42M45S,35965,1388,77,2025-08-20T13:19:46Z,0.0407340469901292,102.75,FreeCodeCamp,2025-08-20,01:19:46 PM
LLM from Scratch Tutorial – Code & Train Qwen 3,PT1H3M4S,34478,1478,42,2025-08-19T13:58:10Z,0.0440860838795753,63.06666666666667,FreeCodeCamp,2025-08-19,01:58:10 PM
From drop-out to backpacker to self-taught developer with Dominick Monaco [Podcast #183],PT1H19M46S,13170,276,21,2025-08-15T13:00:06Z,0.0225512528473804,79.76666666666667,FreeCodeCamp,2025-08-15,01:00:06 PM
Next.js Caching & Rendering Tutorial – Full Course for Beginners,PT1H40M57S,35877,1949,158,2025-08-13T15:53:12Z,0.0587284332580762,100.95,FreeCodeCamp,2025-08-13,03:53:12 PM
DevSecOps Course for Beginners – API Security,PT2H2M47S,36813,1492,27,2025-08-12T13:48:57Z,0.041262597451987,122.78333333333332,FreeCodeCamp,2025-08-12,01:48:57 PM
Abandoning med school to become a software engineer with Edidiong Asikpo [Podcast #182],PT1H13M48S,16052,488,46,2025-08-08T13:00:45Z,0.0332668826314477,73.8,FreeCodeCamp,2025-08-08,01:00:45 PM
Time Series Forecasting in Python – Tutorial for Beginners,PT1H33M1S,52059,1726,36,2025-08-07T14:14:44Z,0.0338462129506905,93.01666666666668,FreeCodeCamp,2025-08-07,02:14:44 PM
Google Cloud Associate Cloud Engineer Course [2025] - Pass the Exam!,PT11H29M36S,48566,1441,88,2025-08-05T14:16:26Z,0.0314829304451674,689.6,FreeCodeCamp,2025-08-05,02:16:26 PM
React Course for Beginners w/ Tailwind CSS [2025],PT4H42M59S,74320,2484,95,2025-08-04T13:56:59Z,0.0347012917115177,282.9833333333333,FreeCodeCamp,2025-08-04,01:56:59 PM
Senior Playstation Engineer's tips for learning new tools and getting things done [Podcast #184],PT1H24M13S,20218,555,34,2025-08-01T13:30:09Z,0.0291324562271243,84.21666666666667,FreeCodeCamp,2025-08-01,01:30:09 PM
Why Algorithms Work – Algorithm Analysis Deep Dive Course,PT6H22M54S,47743,2143,53,2025-07-30T14:33:21Z,0.0459962717047525,382.9,FreeCodeCamp,2025-07-30,02:33:21 PM
"Comparing audio, visual, and written stories | Reading | Khan Academy",PT4M26S,2158,53,5,2025-10-17T15:14:12Z,0.0268767377201112,4.433333333333334,KhanAcademy,2025-10-17,03:14:12 PM
Gravitational forces and fields | AP Physics | Khan Academy,PT12M15S,3719,76,7,2025-10-17T13:00:12Z,0.0223178273729497,12.25,KhanAcademy,2025-10-17,01:00:12 PM
Forces at an angle | AP Physics | Khan Academy,PT13M40S,3690,82,5,2025-10-14T14:01:42Z,0.0235772357723577,13.666666666666666,KhanAcademy,2025-10-14,02:01:42 PM
Forces and free-body diagrams | AP Physics | Khan Academy,PT12M14S,9214,211,8,2025-10-10T13:58:45Z,0.0237681788582591,12.233333333333333,KhanAcademy,2025-10-10,01:58:45 PM
Projectile motion | AP Physics | Khan Academy,PT11M27S,10517,216,13,2025-10-06T15:15:32Z,0.0217742702291528,11.45,KhanAcademy,2025-10-06,03:15:32 PM
Ecological succession | Middle school biology | Khan Academy,PT7M12S,5487,78,0,2025-10-01T16:45:08Z,0.0142154182613449,7.2,KhanAcademy,2025-10-01,04:45:08 PM
Disruptions | Middle school biology | Khan Academy,PT5M28S,2045,38,0,2025-10-01T16:44:02Z,0.0185819070904645,5.466666666666667,KhanAcademy,2025-10-01,04:44:02 PM
Science on Khan Academy,PT2M44S,12623,291,17,2025-09-24T19:36:45Z,0.0243999049354353,2.7333333333333334,KhanAcademy,2025-09-24,07:36:45 PM
Constitution Day is in just a few days (Sept 17)!,PT1M2S,7264,105,7,2025-09-15T15:09:11Z,0.0154185022026431,1.0333333333333334,KhanAcademy,2025-09-15,03:09:11 PM
Khan Academy for Parents,PT1M11S,7373,130,3,2025-09-12T18:21:55Z,0.0180387901803879,1.1833333333333331,KhanAcademy,2025-09-12,06:21:55 PM
📜 Constitution Day is September 17!,PT50S,6211,66,2,2025-09-09T19:00:19Z,0.0109483175012075,0.8333333333333334,KhanAcademy,2025-09-09,07:00:19 PM
Converting polar and rectangular coordinates | Precalculus | Khan Academy,PT6M3S,7782,76,7,2025-09-09T16:47:49Z,0.0106656386533024,6.05,KhanAcademy,2025-09-09,04:47:49 PM
Applying the rational root theorem | Precalculus | Khan Academy,PT7M35S,3093,41,5,2025-09-09T16:47:46Z,0.0148722922728742,7.583333333333333,KhanAcademy,2025-09-09,04:47:46 PM
Graphs of arccos and arcsin | Precalculus | Khan Academy,PT3M37S,2271,26,3,2025-09-09T16:47:44Z,0.0127697049757815,3.6166666666666663,KhanAcademy,2025-09-09,04:47:44 PM
Identifying reference angles for negative angles in standard position | Precalculus | Khan Academy,PT3M26S,1165,13,1,2025-09-09T16:47:42Z,0.0120171673819742,3.4333333333333336,KhanAcademy,2025-09-09,04:47:42 PM
Identifying reference angles of positive angles in standard position | Precalculus | Khan Academy,PT4M36S,983,14,1,2025-09-09T16:47:40Z,0.0152594099694811,4.6,KhanAcademy,2025-09-09,04:47:40 PM
Identifying the foci of an ellipse using the radii | Precalculus | Khan Academy,PT2M30S,2327,17,1,2025-09-09T16:47:36Z,0.0077352814782982,2.5,KhanAcademy,2025-09-09,04:47:36 PM
Interpreting a transformed polynomial function's graph | Precalculus | Khan Academy,PT3M4S,668,7,1,2025-09-09T16:47:34Z,0.0119760479041916,3.066666666666667,KhanAcademy,2025-09-09,04:47:34 PM
Recursive formula for geometric sequence | Precalculus | Khan Academy,PT2M17S,2119,9,0,2025-09-09T16:47:30Z,0.0042472864558754,2.283333333333333,KhanAcademy,2025-09-09,04:47:30 PM
Recursive formula for arithmetic sequence | Precalculus | Khan Academy,PT3M9S,740,6,0,2025-09-09T16:47:27Z,0.0081081081081081,3.15,KhanAcademy,2025-09-09,04:47:27 PM
Using the quotient identities to prove trig identities | Precalculus | Khan Academy,PT2M2S,2150,5,2,2025-09-09T16:47:24Z,0.0032558139534883,2.033333333333333,KhanAcademy,2025-09-09,04:47:24 PM
Proving the formula for focal length of an ellipse | Precalculus | Khan Academy,PT3M14S,575,1,1,2025-09-09T16:47:22Z,0.0034782608695652,3.2333333333333334,KhanAcademy,2025-09-09,04:47:22 PM
Interpreting key features of polynomial graph applications | Precalculus | Khan Academy,PT2M2S,2353,9,0,2025-09-09T16:47:19Z,0.0038249043773905,2.033333333333333,KhanAcademy,2025-09-09,04:47:19 PM
Intro to polynomial synthetic division | Precalculus | Khan Academy,PT4M59S,881,11,0,2025-09-09T16:47:14Z,0.0124858115777525,4.983333333333333,KhanAcademy,2025-09-09,04:47:14 PM
Solving polynomial inequalities in factored form | Precalculus | Khan Academy,PT6M54S,1234,11,0,2025-09-09T16:47:11Z,0.0089141004862236,6.9,KhanAcademy,2025-09-09,04:47:11 PM
Graphing polar coordinates | Precalculus | Khan Academy,PT4M6S,615,4,1,2025-09-09T16:47:09Z,0.008130081300813,4.1,KhanAcademy,2025-09-09,04:47:09 PM
Parametric equations for projectile motion | Precalculus | Khan Academy,PT9M12S,427,3,0,2025-09-09T16:47:07Z,0.0070257611241217,9.2,KhanAcademy,2025-09-09,04:47:07 PM
Solving factored form rational inequalities by testing intervals | Precalculus | Khan Academy,PT8M2S,522,8,0,2025-09-09T16:47:04Z,0.0153256704980842,8.033333333333333,KhanAcademy,2025-09-09,04:47:04 PM
Solving rational inequalities from a graph | Precalculus | Khan Academy,PT1M57S,3174,8,0,2025-09-09T16:47:01Z,0.0025204788909892,1.95,KhanAcademy,2025-09-09,04:47:01 PM
Identifying if a ellipse or hyperbola exists from given key features | Precalculus | Khan Academy,PT5M2S,254,1,0,2025-09-09T16:46:49Z,0.0039370078740157,5.033333333333333,KhanAcademy,2025-09-09,04:46:49 PM
Identifying if a parabola exists from given key features | Precalculus | Khan Academy,PT4M39S,278,4,0,2025-09-09T16:46:43Z,0.014388489208633,4.65,KhanAcademy,2025-09-09,04:46:43 PM
Finding oblique asymptotes of a rational function | Precalculus | Khan Academy,PT5M16S,629,9,3,2025-09-09T16:46:16Z,0.0190779014308426,5.266666666666667,KhanAcademy,2025-09-09,04:46:16 PM
Writing the equation of an ellipse from graph | Precalculus | Khan Academy,PT3M25S,388,4,0,2025-09-09T16:45:45Z,0.0103092783505154,3.4166666666666665,KhanAcademy,2025-09-09,04:45:45 PM
Estimating an oblique asymptote graphically | Precalculus | Khan Academy,PT1M49S,1639,4,0,2025-09-09T16:45:16Z,0.0024405125076266,1.8166666666666669,KhanAcademy,2025-09-09,04:45:16 PM
Writing transformation form equations of polynomials from a graph | Precalculus | Khan Academy,PT3M33S,427,8,0,2025-09-09T16:45:01Z,0.018735362997658,3.55,KhanAcademy,2025-09-09,04:45:01 PM
Graph a polynomial with transformations | Precalculus | Khan Academy,PT4M6S,524,8,1,2025-09-09T16:44:41Z,0.0171755725190839,4.1,KhanAcademy,2025-09-09,04:44:41 PM
Solving polynomial functions using their graphs | Precalculus | Khan Academy,PT3M15S,1332,28,1,2025-09-09T16:44:19Z,0.0217717717717717,3.25,KhanAcademy,2025-09-09,04:44:19 PM
Solving polynomials using a table | Precalculus | Khan Academy,PT3M23S,679,16,0,2025-09-09T16:44:05Z,0.0235640648011782,3.3833333333333333,KhanAcademy,2025-09-09,04:44:05 PM
Analyzing horizontal asymptotes of rational functions | Precalculus | Khan Academy,PT5M51S,708,18,0,2025-09-09T16:43:28Z,0.0254237288135593,5.85,KhanAcademy,2025-09-09,04:43:28 PM
"💙 Parents and families, this back-to-school season is for you, too.",PT1M11S,7181,120,1,2025-09-08T16:01:20Z,0.0168500208884556,1.1833333333333331,KhanAcademy,2025-09-08,04:01:20 PM
Finding area-based probabilities | Probability | Geometry (TX TEKS) | Khan Academy,PT7M58S,3574,68,4,2025-09-07T07:00:06Z,0.0201454952434247,7.966666666666667,KhanAcademy,2025-09-07,07:00:06 AM
Surface area of a rectangular pyramid | Geometry (TX TEKS) | Khan Academy,PT5M38S,3596,60,1,2025-09-06T07:00:55Z,0.0169632925472747,5.633333333333333,KhanAcademy,2025-09-06,07:00:55 AM
Surface area of an octagonal pyramid | Geometry (TX TEKS) | Khan Academy,PT7M22S,1674,32,0,2025-09-06T07:00:33Z,0.019115890083632,7.366666666666666,KhanAcademy,2025-09-06,07:00:33 AM
Surface area of a cone | Geometry (TX TEKS) | Khan Academy,PT6M16S,1440,27,1,2025-09-06T07:00:08Z,0.0194444444444444,6.266666666666667,KhanAcademy,2025-09-06,07:00:08 AM
🎈🔥 How do hot air balloons float? It’s not magic—it’s thermodynamics!,PT2M16S,9226,98,5,2025-09-05T19:35:53Z,0.011164101452417,2.2666666666666666,KhanAcademy,2025-09-05,07:35:53 PM
Area between sector and triangle,PT3M55S,5534,43,2,2025-09-05T07:00:34Z,0.0081315504156125,3.9166666666666665,KhanAcademy,2025-09-05,07:00:34 AM
Composite area related to circles,PT2M30S,9139,39,0,2025-09-05T07:00:29Z,0.0042674253200568,2.5,KhanAcademy,2025-09-05,07:00:29 AM
Area of regular polygon given radius | Geometry (TX TEKS) | Khan Academy,PT5M33S,1053,20,0,2025-09-05T07:00:18Z,0.0189933523266856,5.55,KhanAcademy,2025-09-05,07:00:18 AM
Finding perimeter of shape with arcs | Geometry (TX TEKS) | Khan Academy,PT4M5S,1990,43,3,2025-09-04T07:01:03Z,0.0231155778894472,4.083333333333333,KhanAcademy,2025-09-04,07:01:03 AM
Finding perimeter of shape with semicircles | Geometry (TX TEKS) | Khan Academy,PT1M59S,2241,36,3,2025-09-04T07:00:46Z,0.0174029451137884,1.9833333333333332,KhanAcademy,2025-09-04,07:00:46 AM
A History of Indigenous Women with Lily Gladstone: Ep 19 of Crash Course Native American History,PT13M42S,51239,5887,193,2025-10-14T16:00:32Z,0.1186596147465797,13.7,CrashCourse,2025-10-14,04:00:32 PM
The History of Alaskan and Hawaiian Statehood: Ep 18 of Crash Course Native American History,PT11M42S,35809,2430,41,2025-10-07T16:00:00Z,0.0690049987433326,11.7,CrashCourse,2025-10-07,04:00:00 PM
The Era of Native Urban Relocation: Ep 17 of Crash Course Native American History,PT11M16S,27157,2049,53,2025-09-30T16:00:43Z,0.0774017748646757,11.266666666666667,CrashCourse,2025-09-30,04:00:43 PM
Introduction to Federal Indian Law: Ep 16 of Crash Course Native American History,PT10M44S,32185,2293,26,2025-09-23T16:00:04Z,0.0720521982289886,10.733333333333333,CrashCourse,2025-09-23,04:00:04 PM
The Secret Language of Cults: Crash Course Lecture,PT45M30S,387357,16875,241,2025-09-16T16:00:06Z,0.044186628872074,45.5,CrashCourse,2025-09-16,04:00:06 PM
The Native Civil Rights Movement: Ep 15 of Crash Course Native American History,PT10M56S,44474,2970,25,2025-09-09T16:00:03Z,0.067342717093133,10.933333333333334,CrashCourse,2025-09-09,04:00:03 PM
The Termination Act Explained: Ep 14 of Crash Course Native American History,PT12M8S,35128,2413,56,2025-09-02T16:00:32Z,0.0702858118879526,12.133333333333333,CrashCourse,2025-09-02,04:00:32 PM
The Indian Reorganization Act Explained: Ep 13 of Crash Course Native American History,PT11M46S,42276,2595,38,2025-08-26T16:00:28Z,0.0622811997350742,11.766666666666667,CrashCourse,2025-08-26,04:00:28 PM
The History of America’s Indian Boarding Schools: Ep 12 of Crash Course Native American History,PT11M3S,61209,3367,106,2025-08-12T16:01:17Z,0.0567400218922053,11.05,CrashCourse,2025-08-12,04:01:17 PM
From the Trail of Tears to Wounded Knee: Ep 11 of Crash Course Native American History,PT11M8S,52922,3255,67,2025-08-05T16:01:00Z,0.0627716261668115,11.133333333333333,CrashCourse,2025-08-05,04:01:00 PM
The Truth About Columbus’s “First Contact”: Ep 10 of Crash Course Native American History,PT12M9S,158728,9012,74,2025-07-29T16:00:23Z,0.0572425784990675,12.15,CrashCourse,2025-07-29,04:00:23 PM
What are the Fish Wars and Why Do They Matter?: Ep 9 of Crash Course Native American History,PT10M56S,55413,3400,77,2025-07-15T16:00:24Z,0.062747008824644,10.933333333333334,CrashCourse,2025-07-15,04:00:24 PM
Introduction to Indigenous Knowledge : Ep 8 of Crash Course Native American History,PT8M53S,83350,5852,72,2025-07-08T16:00:38Z,0.0710737852429514,8.883333333333333,CrashCourse,2025-07-08,04:00:38 PM
The Real Impacts of Archaeology on Native Americans: Ep 7 of Crash Course Native American History,PT11M37S,56450,4089,69,2025-07-01T16:00:53Z,0.0736581045172719,11.616666666666667,CrashCourse,2025-07-01,04:00:53 PM
What is kink?: Sex Ed #15,PT8M9S,139342,4340,86,2025-06-26T16:01:15Z,0.0317635745145038,8.15,CrashCourse,2025-06-26,04:01:15 PM
Unpacking masturbation: Sex Ed #14,PT8M,254626,5930,38,2025-06-19T16:00:05Z,0.0234382977386441,8.0,CrashCourse,2025-06-19,04:00:05 PM
What Do Native Cultures Have in Common?: Ep 6 of Crash Course Native American History,PT11M11S,78543,5946,74,2025-06-17T16:00:03Z,0.0766459137033217,11.183333333333334,CrashCourse,2025-06-17,04:00:03 PM
What to know about orgasms: Sex Ed #13,PT9M27S,162585,4797,46,2025-06-12T16:01:00Z,0.0297874957714426,9.45,CrashCourse,2025-06-12,04:01:00 PM
